epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,679.902,0.97084,0.89444,1.52965,0.8269,0.68098,0.75647,0.4385,1.4344,1.28696,1.97124,0.000350657,0.000350657,0.000350657
82,688.262,0.95839,0.86721,1.5132,0.77998,0.69301,0.74994,0.43593,1.44996,1.30229,1.97265,0.000334202,0.000334202,0.000334202
83,696.617,0.9788,0.8855,1.53167,0.78975,0.69273,0.75295,0.43967,1.42729,1.28657,1.96037,0.000317748,0.000317748,0.000317748
84,704.873,0.94102,0.87242,1.49364,0.78069,0.67371,0.74396,0.43321,1.44354,1.32924,1.95249,0.000301294,0.000301294,0.000301294
85,713.269,0.96091,0.8618,1.51417,0.8284,0.67066,0.75193,0.43542,1.44214,1.31059,1.9609,0.00028484,0.00028484,0.00028484
86,721.518,0.93529,0.85821,1.49441,0.80438,0.66238,0.74905,0.42688,1.47873,1.3441,2.00756,0.000268385,0.000268385,0.000268385
87,729.833,0.9396,0.85101,1.48771,0.82053,0.68727,0.76023,0.44006,1.44867,1.27446,1.96923,0.000251931,0.000251931,0.000251931
88,738.097,0.92535,0.83775,1.48176,0.77233,0.69832,0.75158,0.43654,1.4251,1.3165,1.96302,0.000235477,0.000235477,0.000235477
89,746.543,0.91893,0.82947,1.4888,0.79161,0.67573,0.74903,0.44227,1.4486,1.31238,1.99142,0.000219022,0.000219022,0.000219022
90,754.874,0.93201,0.82083,1.50086,0.80148,0.69726,0.76362,0.45299,1.42189,1.26947,1.94776,0.000202568,0.000202568,0.000202568
91,781.172,0.8319,0.69035,1.42263,0.82066,0.67825,0.75538,0.44479,1.43157,1.29778,1.96212,0.000186114,0.000186114,0.000186114
92,789.418,0.83399,0.70259,1.43668,0.81908,0.68318,0.77097,0.45224,1.4347,1.23699,1.99355,0.00016966,0.00016966,0.00016966
93,797.634,0.82221,0.65815,1.4185,0.8051,0.68028,0.75622,0.44383,1.44863,1.26663,2.00193,0.000153205,0.000153205,0.000153205
94,805.898,0.84047,0.64708,1.42356,0.78003,0.70615,0.75401,0.44089,1.4447,1.25806,1.98082,0.000136751,0.000136751,0.000136751
95,814.157,0.80228,0.64067,1.40047,0.82893,0.65552,0.75316,0.43898,1.45283,1.30067,1.99289,0.000120297,0.000120297,0.000120297
96,822.47,0.80641,0.64026,1.38479,0.76543,0.71615,0.76315,0.44188,1.4558,1.24745,2.00749,0.000103842,0.000103842,0.000103842
97,830.694,0.82205,0.62302,1.41071,0.77674,0.70741,0.76356,0.44642,1.44427,1.25473,2.00402,8.73881e-05,8.73881e-05,8.73881e-05
98,838.841,0.79489,0.62751,1.3921,0.80458,0.71155,0.77553,0.45509,1.42745,1.22531,1.99117,7.09339e-05,7.09339e-05,7.09339e-05
99,847.079,0.78864,0.62346,1.39229,0.81934,0.69017,0.76604,0.44707,1.44812,1.2304,2.00909,5.44796e-05,5.44796e-05,5.44796e-05
100,855.32,0.78314,0.60977,1.37429,0.78061,0.70951,0.76354,0.4478,1.45621,1.24996,2.01951,3.80253e-05,3.80253e-05,3.80253e-05
